year,avg_temp
1753,16.44
1754,16.48
1755,16.19
1756,16.58
1757,16.37
1758,15.18
1759,16.31
1760,15.87
1761,16.55
1762,16.51
1763,15.85
1764,16.56
1765,16.54
1766,16.49
1767,16.31
1768,15.53
1769,16.25
1770,16.13
1771,16.65
1772,17.45
1773,16.21
1774,16.78
1775,16.92
1776,16.36
1777,16.13
1778,16.59
1779,16.69
1780,17.20
1781,16.65
1782,15.99
1783,16.29
1784,16.25
1785,16.00
1786,16.43
1787,16.49
1788,16.99
1789,15.82
1790,16.53
1791,16.62
1792,16.44
1793,16.21
1794,16.27
1795,16.45
1796,16.42
1797,16.24
1798,16.50
1799,16.42
1800,16.99
1801,16.80
1802,17.00
1803,16.66
1804,17.03
1805,16.04
1806,16.50
1807,16.35
1808,15.36
1809,15.55
1810,15.49
1811,15.91
1812,15.31
1813,15.63
1814,15.18
1815,15.82
1816,15.16
1817,16.07
1818,16.43
1819,15.97
1820,16.07
1821,16.24
1822,16.68
1823,15.96
1824,16.22
1825,16.33
1826,16.11
1827,16.11
1828,16.62
1829,15.92
1830,16.40
1831,16.42
1832,16.16
1833,16.01
1834,16.56
1835,15.61
1836,15.82
1837,15.67
1838,16.23
1839,16.13
1840,16.21
1841,16.39
1842,16.19
1843,16.28
1844,16.26
1845,16.03
1846,16.84
1847,16.16
1848,15.91
1849,16.26
1850,15.95
1851,15.91
1852,16.51
1853,16.05
1854,15.86
1855,15.91
1856,16.27
1857,16.03
1858,16.81
1859,15.96
1860,15.31
1861,15.84
1862,16.70
1863,15.98
1864,16.51
1865,16.50
1866,16.49
1867,16.77
1868,16.18
1869,16.20
1870,16.09
1871,15.98
1872,16.35
1873,16.21
1874,16.12
1875,15.98
1876,16.37
1877,16.41
1878,16.90
1879,16.03
1880,16.37
1881,17.05
1882,16.09
1883,15.56
1884,15.33
1885,15.78
1886,15.84
1887,15.86
1888,15.86
1889,15.45
1890,15.22
1891,15.84
1892,16.60
1893,16.89
1894,16.15
1895,17.11
1896,15.50
1897,16.73
1898,16.32
1899,17.22
1900,16.26
1901,15.87
1902,16.61
1903,15.94
1904,16.55
1905,16.06
1906,15.80
1907,15.85
1908,16.24
1909,15.89
1910,15.71
1911,16.22
1912,16.02
1913,16.62
1914,16.06
1915,16.15
1916,16.16
1917,15.64
1918,15.66
1919,15.81
1920,16.60
1921,16.16
1922,16.47
1923,15.63
1924,16.95
1925,15.62
1926,16.80
1927,17.00
1928,16.74
1929,16.06
1930,16.84
1931,17.09
1932,16.41
1933,16.59
1934,16.08
1935,16.32
1936,16.25
1937,17.04
1938,16.32
1939,16.20
1940,16.60
1941,16.40
1942,16.95
1943,16.77
1944,16.08
1945,17.23
1946,16.80
1947,17.51
1948,16.82
1949,17.03
1950,16.88
1951,16.56
1952,17.09
1953,16.34
1954,16.12
1955,17.29
1956,15.75
1957,16.15
1958,16.87
1959,16.69
1960,16.78
1961,17.49
1962,16.50
1963,16.43
1964,16.77
1965,16.55
1966,16.79
1967,16.78
1968,16.87
1969,16.23
1970,16.53
1971,16.17
1972,15.80
1973,16.23
1974,16.11
1975,15.98
1976,15.65
1977,16.79
1978,16.19
1979,16.50
1980,16.19
1981,16.82
1982,16.83
1983,17.14
1984,16.03
1985,16.99
1986,16.82
1987,17.59
1988,17.32
1989,17.55
1990,17.48
1991,16.26
1992,16.27
1993,17.00
1994,17.88
1995,17.36
1996,16.76
1997,17.84
1998,17.14
1999,17.97
2000,17.90
2001,18.13
2002,17.85
2003,18.07
2004,17.38
2005,17.19
2006,18.13
2007,17.42
2008,17.55
2009,17.78
2010,17.59
2011,17.79
2012,17.91
2013,17.65
